id,matter_mg,anti_mg,confinement_pct,efficiency_pct,reactivity_pct,field_gradient_pct,speed_pct,total_energy_j,avg_power_w,stability_index,pair_events,threshold_events,gamma_gamma_share_pct,gamma_meson_share_pct,meson_share_pct
48,300,300,35,88,70,75,30,3.188709e+13,5.475118e+12,5.895741e-01,1.450705e+25,7.027543e+25,4.937810e+01,4.710504e+01,3.516865e+00
49,300,300,35,96,12,15,30,2.041414e+13,3.505175e+12,7.956910e-01,8.847302e+24,3.311983e+25,6.072050e+01,3.582136e+01,3.458149e+00
50,300,300,35,96,12,35,30,1.989034e+13,3.415238e+12,7.328462e-01,8.573708e+24,3.481606e+25,5.707011e+01,3.945479e+01,3.475094e+00
51,300,300,35,96,12,55,30,1.926978e+13,3.308685e+12,6.610084e-01,8.178064e+24,3.637885e+25,5.315216e+01,4.334946e+01,3.498388e+00
52,300,300,35,96,12,75,30,1.862259e+13,3.197559e+12,5.889462e-01,7.734886e+24,3.775317e+25,4.917900e+01,4.729894e+01,3.522058e+00
53,300,300,35,96,25,15,30,2.635535e+13,4.525301e+12,7.965466e-01,1.143383e+25,4.270107e+25,6.078232e+01,3.576127e+01,3.456417e+00
54,300,300,35,96,25,35,30,2.579575e+13,4.429215e+12,7.327019e-01,1.112705e+25,4.511888e+25,5.710730e+01,3.941862e+01,3.474077e+00
55,300,300,35,96,25,55,30,2.514157e+13,4.316891e+12,6.614640e-01,1.068154e+25,4.741332e+25,5.320908e+01,4.329405e+01,3.496869e+00
56,300,300,35,96,25,75,30,2.443955e+13,4.196351e+12,5.888018e-01,1.015817e+25,4.951601e+25,4.921338e+01,4.726545e+01,3.521161e+00
57,300,300,35,96,45,15,30,3.209594e+13,5.510978e+12,7.970188e-01,1.393631e+25,5.194353e+25,6.083369e+01,3.571133e+01,3.454979e+00
58,300,300,35,96,45,35,30,3.156401e+13,5.419645e+12,7.329575e-01,1.363411e+25,5.511919e+25,5.718672e+01,3.934137e+01,3.471906e+00
59,300,300,35,96,45,55,30,3.092681e+13,5.310235e+12,6.605197e-01,1.315371e+25,5.826364e+25,5.326365e+01,4.324093e+01,3.495412e+00
60,300,300,35,96,45,75,30,3.026053e+13,5.195832e+12,5.893575e-01,1.259850e+25,6.122229e+25,4.929491e+01,4.718606e+01,3.519035e+00
61,300,300,35,96,70,15,30,3.643061e+13,6.255256e+12,7.971744e-01,1.583902e+25,5.885743e+25,6.091210e+01,3.563511e+01,3.452783e+00
